%  hypsometry data
%  created by Bryce Glenn, Julian Cross, and Maciek Obryk
%  orthometric heights
%  based on local datum (WGS84 -56.3 m)
%  Depth h (m)    Area A Min RIS (m^2)	Area A No RIS (m^2)
145.048	14708456
145.148	14721500
145.248	14734408
145.348	14747412
145.448	14760300
145.548	14772988
145.648	14785772
145.748	14798672
145.848	14811368
145.948	14824116
146.048	14837368
146.148	14850752
146.248	14863904
146.348	14876700
146.448	14889424
146.548	14901992
146.648	14914576
146.748	14926960
146.848	14939540
146.948	14951968
147.048	14964600
147.148	14976788
147.248	14988788
147.348	15000996
147.448	15013792
147.548	15026156
147.648	15038584
147.748	15051172
147.848	15063296
147.947	15075660
148.047	15087844
148.147	15100964
148.247	15113292
148.347	15126000
148.447	15137808
148.547	15150328
148.647	15162716
148.747	15175196
148.847	15187816
148.947	15200040
149.047	15212440
149.147	15225608
149.247	15237928
149.347	15250428
149.447	15263216
149.547	15275732
149.647	15288540
149.747	15301272
149.847	15314136
149.947	15326992
150.047	15339564
150.147	15352552
150.247	15365572
150.347	15378380
150.447	15391104
150.547	15403852
150.647	15416396
150.747	15429112
150.847	15442072
150.947	15454544
151.047	15467384
151.147	15480016
151.247	15492948
151.347	15505592
151.447	15517752
151.547	15530588
151.647	15543264
151.747	15556120
151.847	15569064
151.947	15581688
152.047	15594348
152.147	15607240
152.247	15620088
152.347	15632980
152.447	15645776
152.547	15658492
152.647	15671184
152.747	15684212
152.847	15697136
152.947	15710236
153.047	15722848
153.147	15735808
153.247	15748952
153.347	15761696
153.447	15774776
153.547	15787836
153.647	15800972
153.747	15813988
153.847	15826960
153.947	15839824
154.047	15852648
154.147	15865716
154.247	15878884
154.347	15892308
154.447	15905888
154.547	15919152
154.647	15931964
154.747	15944860
154.847	15958072
154.947	15971200
155.047	15984224
155.147	15997000
155.247	16009632
155.347	16022132
155.447	16035204
155.547	16047612
155.647	16060280
155.747	16072952
155.847	16085724
155.947	16098436
156.047	16110896
156.147	16117808
156.247	16118000
156.347	16118224
156.447	16118428
